DOI,年份,ID,论文,期刊,阳极,阴极,电解液,理论容量（mAh g-1）,电流密度(mA g-1),初始容量(mAh g-1),最高容量(mAh g-1),放电电压（vs.Mg/Mg2+）,循环圈数,放电后容量(mAh g-1),容量保持率(%),温度(℃),循环圈数,电阻（Ω）,单位面积上的电流密度（mA cm-2）,镁脱离时的过电位(mV),离子电导率(mS cm-1),电化学窗口（V),库伦效率（%）,填写人,复核人
10.1007/s12274-022-4932-z,2022/9/13,MIB0081,"Boosting the cycling stability of rechargeable magnesium batteries
by regulating the compatibility between nanostructural metal
sulfide cathodes and non-nucleophilic electrolytes",Nano Research,Mg,CuS,?  Mg(HMDS)2-MgCl2/THF-PP14TFSI? ,,500,,160.9,,800,98.8,,,,,,,,,,,
10.1007/s12274-022-4932-z,2022/9/13,MIB0082,"Boosting the cycling stability of rechargeable magnesium batteries
by regulating the compatibility between nanostructural metal
sulfide cathodes and non-nucleophilic electrolytes",Nano Research,Mg,CuS," Mg(TFSI)2-MgCl2-AlCl3/DME
",,,,,,,,,,,,,,,,,,
 10.1021/acsaem.2c03516,2023/1/3,MIB0083,"Insights into the Degradation Mechanism of the Magnesium Anode in Magnesium?Chalcogen Batteries: Revealing Principles for Anode Design with a 3D-Structured Magnesium Anode
",ACS Applied Energy Materials,Mg@ACC,S,(CF3)2CHOH-(CF3)2CHOH-MgCl2-DME,,0.1 C,,,,800,,,,,,,,,,,黄亚飞,熊野
10.1002/advs.202207563,2023/1/17,MIB0084,The Proof-of-Concept of Anode-Free Rechargeable Mg Batteries,Advanced Science,Mg2Mo6S8,Cu,MACC电解液,,20,350,190,,100,92,,,,,,,,,,黄亚飞,熊野
 10.1088/2053-1583/acb278,2023/1/17,MIB0085,Studying δ-MnO2 /reduced graphene oxide composite cathode in a low-temperature and high voltage-tolerant hybrid electrolyte for aqueous Mg&#2; ion batteries,2D Materials,Mg,MnO2/rGO,MgSO4 MgOAc·4H2O,,,,,,,,,,,,,,,,,黄亚飞,熊野
10.1021/acs.chemmater.2c03641,2023/1/27,MIB0086,Methylamine Magnesium Borohydrides as Electrolytes for All-SolidState Magnesium Batteries,Chemistry of Materials,Mg,Mg,β-Mg(BH4)2·CH3NH2,,,,,,,,,,,,,,,,,黄亚飞,熊野
10.1021/acsomega.2c07689,2023/1/30,MIB0087,Nb-Doped TiO2 with Outstanding Na/Mg-Ion Battery Performance,ACS Omega,Mg,Nb-TiO2,(MgPhCl)2-AlCl3-THF,,100,113.8/79.8,,,50,85,,,,,,,,,,熊野,黄亚飞
10.1021/acsomega.2c07689,2023/1/30,MIB0088,Nb-Doped TiO2 with Outstanding Na/Mg-Ion Battery Performance,ACS Omega,Mg,Nb-TiO2,(MgPhCl)2-AlCl3-THF,,50,,90,,,,,,,,,,,,,,
10.1021/acsomega.2c07689,2023/1/30,MIB0089,Nb-Doped TiO2 with Outstanding Na/Mg-Ion Battery Performance,ACS Omega,Mg,Nb-TiO2,(MgPhCl)2-AlCl3-THF,,100,,80.7,,,,,,,,,,,,,,
10.1021/acsomega.2c07689,2023/1/30,MIB0090,Nb-Doped TiO2 with Outstanding Na/Mg-Ion Battery Performance,ACS Omega,Mg,Nb-TiO2,(MgPhCl)2-AlCl3-THF,,200,,71,,,,,,,,,,,,,,
10.1021/acsomega.2c07689,2023/1/30,MIB0091,Nb-Doped TiO2 with Outstanding Na/Mg-Ion Battery Performance,ACS Omega,Mg,Nb-TiO2,(MgPhCl)2-AlCl3-THF,,500,,60,,,,,,,,,,,,,,
10.1021/acsomega.2c07689,2023/1/30,MIB0092,Nb-Doped TiO2 with Outstanding Na/Mg-Ion Battery Performance,ACS Omega,Mg,Nb-TiO2,(MgPhCl)2-AlCl3-THF,,1000,,,,1000,121.7,,,,,,,,,,,
10.1021/acsomega.2c07689,2023/1/30,MIB0093,Nb-Doped TiO2 with Outstanding Na/Mg-Ion Battery Performance,ACS Omega,Mg,TiO2,(MgPhCl)2-AlCl3-THF,,100,,,,50,67,,,,,,,,,,,
10.1016/j.nanoen.2023.108257,2023/2/1,MIB0094,Deeping insight of Mg(CF3SO3)2 and comprehensive modified electrolytewith ionic liquid enabling high-performance magnesium batteries,Nano Energy,Mg,Mo6S8,Mg(CF3SO3)2/AlCl3/MgCl2-PP14TFSI,,1 C ,,,,101,67.9,,,,,,,,,,熊野,黄亚飞
10.1016/j.nanoen.2023.108257,2023/2/1,MIB0095,Deeping insight of Mg(CF3SO3)2 and comprehensive modified electrolytewith ionic liquid enabling high-performance magnesium batteries,Nano Energy,Mg,Mo6S8,Mg(CF3SO3)2/AlCl3/MgCl2,,0.05 C,,,,86.3,,,,,,,,,,,,
10.1016/j.nanoen.2023.108257,2023/2/1,MIB0096,Deeping insight of Mg(CF3SO3)2 and comprehensive modified electrolytewith ionic liquid enabling high-performance magnesium batteries,Nano Energy,Mg,Mo6S8,Mg(CF3SO3)2/AlCl3/MgCl2,,0.1 C ,,,,74.5,,,,,,,,,,,,
10.1016/j.nanoen.2023.108257,2023/2/1,MIB0097,Deeping insight of Mg(CF3SO3)2 and comprehensive modified electrolytewith ionic liquid enabling high-performance magnesium batteries,Nano Energy,Mg,Mo6S8,Mg(CF3SO3)2/AlCl3/MgCl2,,0.15 C,,,,68.9,,,,,,,,,,,,
10.1016/j.nanoen.2023.108257,2023/2/1,MIB0098,Deeping insight of Mg(CF3SO3)2 and comprehensive modified electrolytewith ionic liquid enabling high-performance magnesium batteries,Nano Energy,Mg,Mo6S8,Mg(CF3SO3)2/AlCl3/MgCl2,,0.2 C,,,,66.7,,,,,,,,,,,,
10.1016/j.nanoen.2023.108257,2023/2/1,MIB0099,Deeping insight of Mg(CF3SO3)2 and comprehensive modified electrolytewith ionic liquid enabling high-performance magnesium batteries,Nano Energy,Mg,Mo6S8,Mg(CF3SO3)2/AlCl3/MgCl2,,0.25 C,,,,64.2,,,,,,,,,,,,
10.1016/j.nanoen.2023.108257,2023/2/1,MIB0100,Deeping insight of Mg(CF3SO3)2 and comprehensive modified electrolytewith ionic liquid enabling high-performance magnesium batteries,Nano Energy,Mg,Cu3Se2,Mg(CF3SO3)2/AlCl3/MgCl-PP14TFSI,,200,,131.7,,100,131.7,,,,,,,,,,,
10.1016/j.nanoen.2023.108257,2023/2/1,MIB0101,Deeping insight of Mg(CF3SO3)2 and comprehensive modified electrolytewith ionic liquid enabling high-performance magnesium batteries,Nano Energy,Mg,Cu3Se2,Mg(CF3SO3)2/AlCl3/MgCl-PP14TFSI,,40,,237.4,,,,,,,,,,,,,,
10.1016/j.nanoen.2023.108257,2023/2/1,MIB0102,Deeping insight of Mg(CF3SO3)2 and comprehensive modified electrolytewith ionic liquid enabling high-performance magnesium batteries,Nano Energy,Mg,Cu3Se2,Mg(CF3SO3)2/AlCl3/MgCl-PP14TFSI,,100,,212.4,,,,,,,,,,,,,,
10.1016/j.nanoen.2023.108257,2023/2/1,MIB0103,Deeping insight of Mg(CF3SO3)2 and comprehensive modified electrolytewith ionic liquid enabling high-performance magnesium batteries,Nano Energy,Mg,Cu3Se2,Mg(CF3SO3)2/AlCl3/MgCl-PP14TFSI,,150,,196.4,,,,,,,,,,,,,,
10.1016/j.nanoen.2023.108257,2023/2/1,MIB0104,Deeping insight of Mg(CF3SO3)2 and comprehensive modified electrolytewith ionic liquid enabling high-performance magnesium batteries,Nano Energy,Mg,Cu3Se2,Mg(CF3SO3)2/AlCl3/MgCl-PP14TFSI,,200,,182.6,,,,,,,,,,,,,,
10.1016/j.nanoen.2023.108257,2023/2/1,MIB0105,Deeping insight of Mg(CF3SO3)2 and comprehensive modified electrolytewith ionic liquid enabling high-performance magnesium batteries,Nano Energy,Mg,Cu3Se2,Mg(CF3SO3)2/AlCl3/MgCl-PP14TFSI,,250,,177.3,,,,,,,,,,,,,,
10.1016/j.nanoen.2023.108257,2023/2/1,MIB0106,Deeping insight of Mg(CF3SO3)2 and comprehensive modified electrolytewith ionic liquid enabling high-performance magnesium batteries,Nano Energy,Mg,Cu3Se2,Mg(CF3SO3)2/AlCl3/MgCl-PP14TFSI,,300,,176.3,,,,,,,,,,,,,,
10.1016/j.nanoen.2023.108257,2023/2/1,MIB0107,Deeping insight of Mg(CF3SO3)2 and comprehensive modified electrolytewith ionic liquid enabling high-performance magnesium batteries,Nano Energy,Mg,Cu3Se2,Mg(CF3SO3)2/AlCl3/MgCl-PP14TFSI,,100,,,,70,205.3,,,,,,,,,,,
10.1021/acsnano.2c12392,2023/2/14,MIB0108,"Ultraporous, Ultrasmall MgMn2O4 Spinel Cathode for a RoomTemperature Magnesium
Rechargeable Battery",ACS NANO,Mg-Al-Zn,MgMn2O4(立方尖晶石＜2.5nm),Mg[B(HFIP)4]2/triglyme,,,,270,,,,,,,,,,,,,熊野,黄亚飞
10.1016/j.cej.2023.141345 ,2023/2/15,MIB0109,Lattice expanding by Te-substitution to boost electrochemical Mg storage of Cu7.2S4 nanotube cathode ,Chemical Engineering Journal,Mg,Cu7.2S4,Mg(HMDS)2/AlCl3/DME,,100,,322.1,,,,,,,,,,,,,熊野,黄亚飞
10.1016/j.cej.2023.141345 ,2023/2/15,MIB0110,Lattice expanding by Te-substitution to boost electrochemical Mg storage of Cu7.2S4 nanotube cathode ,Chemical Engineering Journal,Mg,0.06Te-Cu7.2S4,Mg(HMDS)2/AlCl3/DME,,100,,370.7,,,,,,,,,,,,,,
10.1016/j.cej.2023.141345 ,2023/2/15,MIB0111,Lattice expanding by Te-substitution to boost electrochemical Mg storage of Cu7.2S4 nanotube cathode ,Chemical Engineering Journal,Mg,0.1Te-Cu7.2S4,Mg(HMDS)2/AlCl3/DME,,100,,384.7,,,,,,,,,,,,,,
10.1016/j.cej.2023.141345 ,2023/2/15,MIB0112,Lattice expanding by Te-substitution to boost electrochemical Mg storage of Cu7.2S4 nanotube cathode ,Chemical Engineering Journal,Mg,0.2Te-Cu7.2S4,Mg(HMDS)2/AlCl3/DME,,100,,478.1,,,,,,,,,,,,,,
10.1016/j.cej.2023.141345 ,2023/2/15,MIB0113,Lattice expanding by Te-substitution to boost electrochemical Mg storage of Cu7.2S4 nanotube cathode ,Chemical Engineering Journal,Mg,Te-Cu7.2S4纳米管,Mg(HMDS)2/AlCl3/DME,,100,322.1,354.1,,,,,,,,,,,,,,
10.1016/j.cej.2023.141345 ,2023/2/15,MIB0114,Lattice expanding by Te-substitution to boost electrochemical Mg storage of Cu7.2S4 nanotube cathode ,Chemical Engineering Journal,Mg,Te-Cu7.2S4纳米管,Mg(HMDS)2/AlCl3/DME,,200,,324.5,,,,,,,,,,,,,,
10.1016/j.cej.2023.141345 ,2023/2/15,MIB0115,Lattice expanding by Te-substitution to boost electrochemical Mg storage of Cu7.2S4 nanotube cathode ,Chemical Engineering Journal,Mg,Te-Cu7.2S4纳米管,Mg(HMDS)2/AlCl3/DME,,300,,279.7,,,,,,,,,,,,,,
10.1016/j.cej.2023.141345 ,2023/2/15,MIB0116,Lattice expanding by Te-substitution to boost electrochemical Mg storage of Cu7.2S4 nanotube cathode ,Chemical Engineering Journal,Mg,Te-Cu7.2S4纳米管,Mg(HMDS)2/AlCl3/DME,,500,,210.6,,,,,,,,,,,,,,
10.1016/j.cej.2023.141345 ,2023/2/15,MIB0117,Lattice expanding by Te-substitution to boost electrochemical Mg storage of Cu7.2S4 nanotube cathode ,Chemical Engineering Journal,Mg,Te-Cu7.2S4纳米管,Mg(HMDS)2/AlCl3/DME,,1000,,140.5,,,,,,,,,,,,,,
10.1016/j.cej.2023.141345 ,2023/2/15,MIB0118,Lattice expanding by Te-substitution to boost electrochemical Mg storage of Cu7.2S4 nanotube cathode ,Chemical Engineering Journal,Mg,Te-Cu7.2S4纳米管,Mg(HMDS)2/AlCl3/DME,,2000,,85.1,,2000,,,,,,,,,,,,
10.1002/smtd.202201598,2023/2/19,MIB0119,"Double-Transition-Metal MXene Films Promoting Deeply
Rechargeable Magnesium Metal Batteries",Small,Mg,Mo2Ti2C3,Mg(OTf)2,,,,,,,,,,,,,,,,,熊野,黄亚飞
10.1002/adma.20220828,2023/3/9,MIB0120,Anion-Incorporated Mg-Ion Solvation Modulation Enables Fast Magnesium Storage Kinetics of Conversion-Type Cathode Materials,Advanced Materlals,Mg,CuSe,Mg[B(hfip)4]2/DME,,100,170,357,,100,300,,,,,,,,,,黄亚飞,熊野
10.1002/adma.20220828,2023/3/9,MIB0121,Anion-Incorporated Mg-Ion Solvation Modulation Enables Fast Magnesium Storage Kinetics of Conversion-Type Cathode Materials,Advanced Materlals,Mg,CuSe,Mg[B(hfip)4]2/DME,,200,,304,,1000,,,,,,,,,,,,
10.1002/adma.20220828,2023/3/9,MIB0122,Anion-Incorporated Mg-Ion Solvation Modulation Enables Fast Magnesium Storage Kinetics of Conversion-Type Cathode Materials,Advanced Materlals,Mg,CuSe,Mg[B(hfip)4]2/DME,,500,,277,,,,,,,,,,,,,,
10.1002/adma.20220828,2023/3/9,MIB0123,Anion-Incorporated Mg-Ion Solvation Modulation Enables Fast Magnesium Storage Kinetics of Conversion-Type Cathode Materials,Advanced Materlals,Mg,CuSe,Mg[B(hfip)4]2/DME,,1000,,246,,,,,,,,,,,,,,
10.1016/j.jma.2022.11.005,2023/4/4,MIB0124,Layered buserite Mg-Mn oxide cathode for aqueous rechargeable Mg-ion battery,Journal of Magnesium and Alloys,Mg,MMO-1,0.1 M MgCl2,,50,,169.3,,,,,,,,,,,,,,
10.1016/j.jma.2022.11.005,2023/4/4,MIB0125,Layered buserite Mg-Mn oxide cathode for aqueous rechargeable Mg-ion battery,Journal of Magnesium and Alloys,Mg,MMO-1,0.1 M MgCl2,,1000,,98.3,,,,,,,,,,,,,,
10.1016/j.jma.2022.11.005,2023/4/4,MIB0126,Layered buserite Mg-Mn oxide cathode for aqueous rechargeable Mg-ion battery,Journal of Magnesium and Alloys,Mg,MMO-1,0.5 M MgCl6,,50,,153.2,,,,,,,,,,,,,,
10.1016/j.jma.2022.11.005,2023/4/4,MIB0127,Layered buserite Mg-Mn oxide cathode for aqueous rechargeable Mg-ion battery,Journal of Magnesium and Alloys,Mg,MMO-1,5.8 M MgCl6,,50,,122.4,,,,,,,,,,,,,,
10.1016/j.jma.2022.11.005,2023/4/4,MIB0128,Layered buserite Mg-Mn oxide cathode for aqueous rechargeable Mg-ion battery,Journal of Magnesium and Alloys,Mg,MMO-2,0.1 M MgCl4,,50,,169.9,,,,,,,,,,,,,,
10.1016/j.jma.2022.11.005,2023/4/4,MIB0129,Layered buserite Mg-Mn oxide cathode for aqueous rechargeable Mg-ion battery,Journal of Magnesium and Alloys,Mg,MMO-2,0.1 M MgCl4,,1000,,74.4,,,,,,,,,,,,,,
10.1016/j.jma.2022.11.005,2023/4/4,MIB0130,Layered buserite Mg-Mn oxide cathode for aqueous rechargeable Mg-ion battery,Journal of Magnesium and Alloys,Mg,MMO-1//AC,0.5 M MgCl5,,100,,111,,,,,,,,,,,,,,
10.1016/j.jma.2022.11.005,2023/4/4,MIB0131,Layered buserite Mg-Mn oxide cathode for aqueous rechargeable Mg-ion battery,Journal of Magnesium and Alloys,Mg,MMO-1//AC,0.5 M MgCl5,,1000,,78,,5000,,,,,,,,,,,,
10.1002/smll.202308886,2024/1/4,MIB0132,"Mitigating Interfacial Capacity Fading in Vanadium
Pentoxide by Sacrificial Vanadium Sulfide Encapsulation for
Rechargeable Mg-Ion Batteries",Small,Mg,V2O5-VS2,MgCl2 + MgTFSI in DME,,10,260,260,,,,,,,,,,,,,黄亚飞,熊野
10.1002/smll.202308886,2024/1/4,MIB0133,"Mitigating Interfacial Capacity Fading in Vanadium
Pentoxide by Sacrificial Vanadium Sulfide Encapsulation for
Rechargeable Mg-Ion Batteries",Small,Mg,V2O5-VS2,MgCl2 + MgTFSI in DME,,30,,183,,100,138,,,,,,,,,,,
10.1002/smll.202308886,2024/1/4,MIB0134,"Mitigating Interfacial Capacity Fading in Vanadium
Pentoxide by Sacrificial Vanadium Sulfide Encapsulation for
Rechargeable Mg-Ion Batteries",Small,Mg,V2O5,MgCl2 + MgTFSI in DME,,10,220,,,,,,,,,,,,,,,
10.1002/smll.202308886,2024/1/4,MIB0135,"Mitigating Interfacial Capacity Fading in Vanadium
Pentoxide by Sacrificial Vanadium Sulfide Encapsulation for
Rechargeable Mg-Ion Batteries",Small,Mg,V2O5,MgCl2 + MgTFSI in DME,,30,,,,100,110,,,,,,,,,,,
10.1002/adfm.202314146,2024/1/4,MIB0136,"Asymmetric SO3CF3
?-Grafted Boron-Center Anion Enables
Boron-Containing Interphase for High-Performance
Rechargeable Mg Batteries",Early View,Mg,Mo6S8,MBTO,,1 C,,61.5,,600,,90.2,,,,0.1,409,,,,黄亚飞,熊野
10.1002/adfm.202314146,2024/1/4,MIB0137,"Asymmetric SO3CF3
?-Grafted Boron-Center Anion Enables
Boron-Containing Interphase for High-Performance
Rechargeable Mg Batteries",Early View,Mg,Mo6S8,MBTO,,5 C,,43,,,,,,,,1,208,,,,黄亚飞,熊野
10.1016/j.solidstatesciences.2024.107445,2024/1/17,MIB0138,"Synergistic effect of V3O7/VO2 film electrodes as high-performance cathode 
materials for magnesium-ion batteries",Solid State Sciences,Mg,VO-350,1.5 M Mg(ClO4)2/ PC,,100 mA cm-2 ,190.7,,,100,79.4,,,,,,,,,,黄亚飞,熊野
10.1016/j.solidstatesciences.2024.107445,2024/1/17,MIB0139,"Synergistic effect of V3O7/VO2 film electrodes as high-performance cathode 
materials for magnesium-ion batteries",Solid State Sciences,Mg,VO-400,2.5 M Mg(ClO4)2/ PC,,101 mA cm-2 ,111.5,156.7,,100,156.7,,,,,,,,,,,
10.1016/j.solidstatesciences.2024.107445,2024/1/17,MIB0140,"Synergistic effect of V3O7/VO2 film electrodes as high-performance cathode 
materials for magnesium-ion batteries",Solid State Sciences,Mg,VO-400,2.5 M Mg(ClO4)2/ PC,,0.3 C,,213.9,,,,,,,,,,,,,,
10.1016/j.solidstatesciences.2024.107445,2024/1/17,MIB0141,"Synergistic effect of V3O7/VO2 film electrodes as high-performance cathode 
materials for magnesium-ion batteries",Solid State Sciences,Mg,VO-400,2.5 M Mg(ClO4)2/ PC,,0.5 C,,202.2,,,,,,,,,,,,,,
10.1016/j.solidstatesciences.2024.107445,2024/1/17,MIB0142,"Synergistic effect of V3O7/VO2 film electrodes as high-performance cathode 
materials for magnesium-ion batteries",Solid State Sciences,Mg,VO-400,2.5 M Mg(ClO4)2/ PC,,1 C ,,138.6,,,,,,,,,,,,,,
10.1016/j.solidstatesciences.2024.107445,2024/1/17,MIB0143,"Synergistic effect of V3O7/VO2 film electrodes as high-performance cathode 
materials for magnesium-ion batteries",Solid State Sciences,Mg,VO-400,2.5 M Mg(ClO4)2/ PC,,4 C,,73.7,,,,,,,,,,,,,,
10.1016/j.solidstatesciences.2024.107445,2024/1/17,MIB0144,"Synergistic effect of V3O7/VO2 film electrodes as high-performance cathode 
materials for magnesium-ion batteries",Solid State Sciences,Mg,VO-400,2.5 M Mg(ClO4)2/ PC,,6 C,,60.2,,,,,,,,,,,,,,
"10.1016/j.ensm.2024.103212 
",2024/1/28,MIB0145,"Ca2+ pre-intercalated bilayered vanadium oxide for high-performance 
aqueous Mg-ion batteries",Energy Storage Materials,Mg,CaVOnH,0.8 m Mg(TFSI) 2-85%PEG - 15%H2O(聚乙二醇，PEG),,50,,273,,,,,,,,,,,,,熊野,黄亚飞
doi.org/10.1002/inf2.12517,2024/1/30,MIB0146,"Crystal reconstruction of V2O3/carbon heterointerfaces
via anodic hydration for ultrafast and reversible
Mg-ion battery cathodes",InfoMat,Mg,V2O3@C,0.3 M Mg(TFSI)2/ACN(H2O),,500,,354.8,1.0-1.0,,,,,,,,,,,,熊野,黄亚飞
doi.org/10.1002/inf2.12517,2024/1/30,MIB0147,"Crystal reconstruction of V2O3/carbon heterointerfaces
via anodic hydration for ultrafast and reversible
Mg-ion battery cathodes",InfoMat,Mg,V2O3@C,0.3 M Mg(TFSI)2/ACN(H2O),,5000,,292.7,1.0-1.0,,,,,,,,,,,,,
doi.org/10.1002/inf2.12517,2024/1/30,MIB0148,"Crystal reconstruction of V2O3/carbon heterointerfaces
via anodic hydration for ultrafast and reversible
Mg-ion battery cathodes",InfoMat,Mg,V2O3@C,0.3 M Mg(TFSI)2/ACN(H2O),,20000,,208,1.0-1.0,,,,,,,,,,,,,
doi.org/10.1002/inf2.12517,2024/1/30,MIB0149,"Crystal reconstruction of V2O3/carbon heterointerfaces
via anodic hydration for ultrafast and reversible
Mg-ion battery cathodes",InfoMat,Mg,V2O3@C,0.3 M Mg(TFSI)2/ACN(H2O),,50000,,130.4,1.0-1.0,,,,,,,,,,,,,
doi.org/10.1002/inf2.12517,2024/1/30,MIB0150,"Crystal reconstruction of V2O3/carbon heterointerfaces
via anodic hydration for ultrafast and reversible
Mg-ion battery cathodes",InfoMat,Mg,V2O3@C,0.3 M Mg(TFSI)2/ACN(H2O),,200,,213.9,1.0-0.5,,,,,,,,,,,,,
doi.org/10.1002/inf2.12517,2024/1/30,MIB0151,"Crystal reconstruction of V2O3/carbon heterointerfaces
via anodic hydration for ultrafast and reversible
Mg-ion battery cathodes",InfoMat,Mg,V2O3@C,0.3 M Mg(TFSI)2/ACN(H2O),,500,,152.2,1.0-0.5,,,,,,,,,,,,,
doi.org/10.1002/inf2.12517,2024/1/30,MIB0152,"Crystal reconstruction of V2O3/carbon heterointerfaces
via anodic hydration for ultrafast and reversible
Mg-ion battery cathodes",InfoMat,Mg,V2O3@C,0.3 M Mg(TFSI)2/ACN(H2O),,2000,,59.3,1.0-0.5,,,,,,,,,,,,,
doi.org/10.1002/inf2.12517,2024/1/30,MIB0153,"Crystal reconstruction of V2O3/carbon heterointerfaces
via anodic hydration for ultrafast and reversible
Mg-ion battery cathodes",InfoMat,Mg,V2O3@C,0.3 M Mg(TFSI)2/ACN(H2O),,200,,381,,,,,,,,,,,,,,
doi.org/10.1002/inf2.12517,2024/1/30,MIB0154,"Crystal reconstruction of V2O3/carbon heterointerfaces
via anodic hydration for ultrafast and reversible
Mg-ion battery cathodes",InfoMat,Mg,V2O3@C,0.3 M Mg(TFSI)2/ACN(H2O),,500,,290.1,,1000,173.1,60,,,,,,,,,,
doi.org/10.1002/inf2.12517,2024/1/30,MIB0155,"Crystal reconstruction of V2O3/carbon heterointerfaces
via anodic hydration for ultrafast and reversible
Mg-ion battery cathodes",InfoMat,Mg,bulk-V2O3/AC,0.3 M Mg(TFSI)2/ACN(H2O),,500,,,,1000,150,57,,,,,,,,,,
doi.org/10.1002/inf2.12517,2024/1/30,MIB0156,"Crystal reconstruction of V2O3/carbon heterointerfaces
via anodic hydration for ultrafast and reversible
Mg-ion battery cathodes",InfoMat,Mg,bulk-V2O3/AC,0.3 M Mg(TFSI)2/ACN(H2O),,200,,203.2,,,,,,,,,,,,,,
doi.org/10.1002/inf2.12517,2024/1/30,MIB0157,"Crystal reconstruction of V2O3/carbon heterointerfaces
via anodic hydration for ultrafast and reversible
Mg-ion battery cathodes",InfoMat,Mg,bulk-V2O5/AC,0.3 M Mg(TFSI)2/ACN(H2O),,200,,54.9,,,,,,,,,,,,,,
doi.org/10.1016/j.mtphys.2024.101361,2024/2/6,MIB0158,"The tellurium-induced CoSe polyhedral porous nano-structured materials 
as high-performance cathodes for rechargeable magnesium batteries ",Materials Today Physics ,Mg,CoSe/Te,APC,,100,,,,100,180,,,,,,,,,,熊野,黄亚飞
doi.org/10.1016/j.mtphys.2024.101361,2024/2/6,MIB0159,"The tellurium-induced CoSe polyhedral porous nano-structured materials 
as high-performance cathodes for rechargeable magnesium batteries ",Materials Today Physics ,Mg,CoSe/Te,APC,,200,,,,600,150.6,83.7,,,,,,,,,,
doi.org/10.1016/j.mtphys.2024.101361,2024/2/6,MIB0160,"The tellurium-induced CoSe polyhedral porous nano-structured materials 
as high-performance cathodes for rechargeable magnesium batteries ",Materials Today Physics ,Mg,CoSe/Te,APC,,2000,,50,,,,,,,,,,,,,,
doi.org/10.1016/j.mtphys.2024.101361,2024/2/6,MIB0161,"The tellurium-induced CoSe polyhedral porous nano-structured materials 
as high-performance cathodes for rechargeable magnesium batteries ",Materials Today Physics ,Mg,CoSe,APC,,2000,,15,,,,,,,,,,,,,,
10.1002/smtd.202400004,2024/2/7,MIB0162,"Pillar-Structured Ti3C2Tx MXene with Engineered Interlayer
Spacing for High-Performance Magnesium Batteries",Small,Mg,Ti3C2Tx（ML-MXene）,APC,,50,235,,0.05-2,100,190,95,,,,,,,,,熊野,黄亚飞
