DOI,年份,ID,论文,期刊,阳极,阴极,电解液,理论容量（mAh g-1）,电流密度(mA g-1),初始容量(mAh g-1),最高容量(mAh g-1),放电电压（vs.Mg/Mg2+）,循环圈数,放电后容量(mAh g-1),容量保持率(%),温度(℃),循环圈数,电阻（Ω）,单位面积上的电流密度（mA cm-2）,镁脱离时的过电位(mV),离子电导率(mS cm-1),电化学窗口（V),库伦效率（%）,填写人,复核人
10.1002/smtd.202400004,2024/2/7,MIB0163,"Pillar-Structured Ti3C2Tx MXene with Engineered Interlayer
Spacing for High-Performance Magnesium Batteries",Small,Mg,Ti3C2Tx（ML-MXene）,APC,,20,213,,,,,,,,,,,,,,,
10.1002/smtd.202400004,2024/2/7,MIB0164,"Pillar-Structured Ti3C2Tx MXene with Engineered Interlayer
Spacing for High-Performance Magnesium Batteries",Small,Mg,Ti3C2Tx（DL-MXene）,APC,,50,70,,,,,,,,,,,,,APC,,
10.1002/smtd.202400004,2024/2/7,MIB0165,"Pillar-Structured Ti3C2Tx MXene with Engineered Interlayer
Spacing for High-Performance Magnesium Batteries",Small,Mg,Ti3C2Tx（DL-MXene）,APC,,20,80,,,,,,,,,,,,,,,
10.1021/acssuschemeng.3c06270,2024/2/20,MIB0166,"Efficient and Stable Magnesium Plating/Stripping in High-Capacity
Novel Mg//Ni0.6Co0.4Se2 Batteries Enabled by Interfacial Chemistry
Modulation",ACS Sustainable Chemistry & Engineering,Mg,Ni0.6Co0.4Se2,0.35 M Mg(HMDS)2-2AlCl3-I2/G2,,100,186,180,,100,120,,,,,,,,,,黄亚飞,熊野
10.1021/acssuschemeng.3c06270,2024/2/20,MIB0167,"Efficient and Stable Magnesium Plating/Stripping in High-Capacity
Novel Mg//Ni0.6Co0.4Se3 Batteries Enabled by Interfacial Chemistry
Modulation",ACS Sustainable Chemistry & Engineering,Mg,Ni0.6Co0.4Se2,0.35 M Mg(HMDS)2-2AlCl3-I2/G2,,25,,182,,,,,,,,,,,,,,
10.1021/acssuschemeng.3c06270,2024/2/20,MIB0168,"Efficient and Stable Magnesium Plating/Stripping in High-Capacity
Novel Mg//Ni0.6Co0.4Se4 Batteries Enabled by Interfacial Chemistry
Modulation",ACS Sustainable Chemistry & Engineering,Mg,Ni0.6Co0.4Se2,0.35 M Mg(HMDS)2-2AlCl3-I2/G2,,50,,160,,,,,,,,,,,,,,
10.1021/acssuschemeng.3c06270,2024/2/20,MIB0169,"Efficient and Stable Magnesium Plating/Stripping in High-Capacity
Novel Mg//Ni0.6Co0.4Se5 Batteries Enabled by Interfacial Chemistry
Modulation",ACS Sustainable Chemistry & Engineering,Mg,Ni0.6Co0.4Se2,0.35 M Mg(HMDS)2-2AlCl3-I2/G2,,100,,126,,,,,,,,,,,,,,
10.1021/acssuschemeng.3c06270,2024/2/20,MIB0170,"Efficient and Stable Magnesium Plating/Stripping in High-Capacity
Novel Mg//Ni0.6Co0.4Se6 Batteries Enabled by Interfacial Chemistry
Modulation",ACS Sustainable Chemistry & Engineering,Mg,Ni0.6Co0.4Se2,0.35 M Mg(HMDS)2-2AlCl3-I2/G2,,200,,88,,,,,,,,,,,,,,
10.1021/acssuschemeng.3c06270,2024/2/20,MIB0171,"Efficient and Stable Magnesium Plating/Stripping in High-Capacity
Novel Mg//Ni0.6Co0.4Se7 Batteries Enabled by Interfacial Chemistry
Modulation",ACS Sustainable Chemistry & Engineering,Mg,Ni0.6Co0.4Se2,0.35 M Mg(HMDS)2-2AlCl3-I2/G2,,500,,71,,,,,,,,,,,,,,
10.1021/acssuschemeng.3c06270,2024/2/20,MIB0172,"Efficient and Stable Magnesium Plating/Stripping in High-Capacity
Novel Mg//Ni0.6Co0.4Se8 Batteries Enabled by Interfacial Chemistry
Modulation",ACS Sustainable Chemistry & Engineering,Mg,Ni0.6Co0.4Se2,0.35 M Mg(HMDS)2-2AlCl3-I2/G2,,1000,,49,,,,,,,,,,,,,,
10.1021/acssuschemeng.3c06270,2024/2/20,MIB0173,"Efficient and Stable Magnesium Plating/Stripping in High-Capacity
Novel Mg//Ni0.6Co0.4Se9 Batteries Enabled by Interfacial Chemistry
Modulation",ACS Sustainable Chemistry & Engineering,Mg,Ni0.6Co0.4Se2,0.35 M Mg(HMDS)2-2AlCl3-I2/G2,,2000,,30,,,,,,,,,,,,,,
10.1021/acssuschemeng.3c06270,2024/2/20,MIB0174,"Efficient and Stable Magnesium Plating/Stripping in High-Capacity
Novel Mg//Ni0.6Co0.4Se10 Batteries Enabled by Interfacial Chemistry
Modulation",ACS Sustainable Chemistry & Engineering,Mg,Ni0.6Co0.4Se2,0.25 M APC/THF,,100,44,,,10,0,,,,,,,,,,,
10.1002/smll.202311587,2024/2/22,MIB0175,"Catalyzing Desolvation at Cathode-Electrolyte Interface
Enabling High-Performance Magnesium-Ion Batteries",Small,Mg,V2O5/MQDs,0.5 M Mg[N(SO2CF3)2]2- Mg(TFSI)2/DME,,50,,319.5,,200,200,,,,,,,,,,熊野,黄亚飞
10.1002/smll.202311587,2024/2/22,MIB0176,"Catalyzing Desolvation at Cathode-Electrolyte Interface
Enabling High-Performance Magnesium-Ion Batteries",Small,Mg,V2O5/MQDs,0.5 M Mg[N(SO2CF3)2]2- Mg(TFSI)2/DME,,25,,303,,,,,,,,,,,,,,
10.1002/smll.202311587,2024/2/22,MIB0177,"Catalyzing Desolvation at Cathode-Electrolyte Interface
Enabling High-Performance Magnesium-Ion Batteries",Small,Mg,V2O5/MQDs,0.5 M Mg[N(SO2CF3)2]2- Mg(TFSI)2/DME,,50,,249.2,,,,,,,,,,,,,,
10.1002/smll.202311587,2024/2/22,MIB0178,"Catalyzing Desolvation at Cathode-Electrolyte Interface
Enabling High-Performance Magnesium-Ion Batteries",Small,Mg,V2O5/MQDs,0.5 M Mg[N(SO2CF3)2]2- Mg(TFSI)2/DME,,100,,211.2,,,,,,,,,,,,,,
10.1002/smll.202311587,2024/2/22,MIB0179,"Catalyzing Desolvation at Cathode-Electrolyte Interface
Enabling High-Performance Magnesium-Ion Batteries",Small,Mg,V2O5/MQDs,0.5 M Mg[N(SO2CF3)2]2- Mg(TFSI)2/DME,,200,,176.5,,,,,,,,,,,,,,
10.1002/smll.202311587,2024/2/22,MIB0180,"Catalyzing Desolvation at Cathode-Electrolyte Interface
Enabling High-Performance Magnesium-Ion Batteries",Small,Mg,V2O5/MQDs,0.5 M Mg[N(SO2CF3)2]2- Mg(TFSI)2/DME,,300,,160.9,,,,,,,,,,,,,,
10.1002/smll.202311587,2024/2/22,MIB0181,"Catalyzing Desolvation at Cathode-Electrolyte Interface
Enabling High-Performance Magnesium-Ion Batteries",Small,Mg,V2O5/MQDs,0.5 M Mg[N(SO2CF3)2]2- Mg(TFSI)2/DME,,500,,143.8,,,,,,,,,,,,,,
10.1002/smll.202311587,2024/2/22,MIB0182,"Catalyzing Desolvation at Cathode-Electrolyte Interface
Enabling High-Performance Magnesium-Ion Batteries",Small,Mg,V2O5/MQDs,0.5 M Mg[N(SO2CF3)2]2- Mg(TFSI)2/DME,,1000,,118.8,,1000,112.9,77.1,,,,,,,,,,
10.1002/smll.202311587,2024/2/22,MIB0183,"Catalyzing Desolvation at Cathode-Electrolyte Interface
Enabling High-Performance Magnesium-Ion Batteries",Small,Mg,V2O5/MQDs,0.5 M Mg[N(SO2CF3)2]2- Mg(TFSI)2/DME,,2000,,,,15000,70,,,,,,,,,,,
https://doi.org/10.1002/anie.202401818,2024/3/11,MIB0184,"Unlocking Four-electron Conversion in Tellurium Cathodes for
Advanced Magnesium-based Dual-ion Batteries",Angewandte Chemie International Edition,Mg,Te,0.5 M Mg(TFSI)2/MACC电解液,,400,543,543,,,,,,,,,,,,,黄亚飞,熊野
https://doi.org/10.1002/anie.202401818,2024/3/11,MIB0185,"Unlocking Four-electron Conversion in Tellurium Cathodes for
Advanced Magnesium-based Dual-ion Batteries",Angewandte Chemie International Edition,Mg,Te,0.5 M Mg(TFSI)2/MACC电解液,,2000,,356,,,,,,,,,,,,,,
https://doi.org/10.1002/anie.202401818,2024/3/11,MIB0186,"Unlocking Four-electron Conversion in Tellurium Cathodes for
Advanced Magnesium-based Dual-ion Batteries",Angewandte Chemie International Edition,Mg,Te,0.5 M Mg(TFSI)2/MACC电解液,,1000,,,,100,308,,,,,,,,,,,
https://doi.org/10.1002/anie.202401818,2024/3/11,MIB0187,"Unlocking Four-electron Conversion in Tellurium Cathodes for
Advanced Magnesium-based Dual-ion Batteries",Angewandte Chemie International Edition,Mg,Te,0.5 M Mg(TFSI)2/MACC电解液,,2000,,,,100,280,,,,,,,,,,,
https://doi.org/10.1002/batt.202400032,2024/3/19,MIB0188,"Triiodide Anion as a Magnesium-ion Transporter for Low
Overpotential Battery Cycling in Iodine-Containing Mg(TFSI)2
Electrolyte",ACS Applied Materials & Interfaces,Mg,MgI2,Mg(TFSI)2,SEI膜,,,,,,,,,,,,,,,,黄亚飞,熊野
https://doi.org/10.1039/D4TA00639A,2024/3/27,MIB0189,Copper selenide/amino hyperbranched polymer as an 2 organic/inorganic hybrid composite cathode for 3 rechargeable magnesium batteries,Journal of  Materials Chemistry A,Mg,CuSe-AHP,Mg(TFSI)2/DME-MgCl2,,100,,227,,,,,,50,172.3,,,,,,黄亚飞,熊野
https://doi.org/10.1039/D4TA00639A,2024/3/27,MIB0190,Copper selenide/amino hyperbranched polymer as an 2 organic/inorganic hybrid composite cathode for 4 rechargeable magnesium batteries,Journal of  Materials Chemistry A,Mg,CuSe-AHP,Mg(TFSI)2/DME-MgCl2,,1000,,87.5,,,,,,,,,,,,,,
https://doi.org/10.1039/D4TA00639A,2024/3/27,MIB0191,Copper selenide/amino hyperbranched polymer as an 2 organic/inorganic hybrid composite cathode for 5 rechargeable magnesium batteries,Journal of  Materials Chemistry A,Mg,CuSe-AHP,Mg(TFSI)2/DME-MgCl2,,200,,121,,200,121,75.4,,,,,,,,,,
https://doi.org/10.1039/D4TA00639A,2024/3/27,MIB0192,Copper selenide/amino hyperbranched polymer as an 2 organic/inorganic hybrid composite cathode for 6 rechargeable magnesium batteries,Journal of  Materials Chemistry A,Mg,CuSe-AHP,Mg(TFSI)2/DME-MgCl2,,500,,,,400,105,75,,,,,,,,,,
https://doi.org/10.1039/D4TA00639A,2024/3/27,MIB0193,Copper selenide/amino hyperbranched polymer as an 2 organic/inorganic hybrid composite cathode for 7 rechargeable magnesium batteries,Journal of  Materials Chemistry A,Mg,CuSe,Mg(TFSI)2/DME-MgCl3,,100,,211,,,,,,50,284.2,,,,,,,
https://doi.org/10.1039/D4TA00639A,2024/3/27,MIB0194,Copper selenide/amino hyperbranched polymer as an 2 organic/inorganic hybrid composite cathode for 8 rechargeable magnesium batteries,Journal of  Materials Chemistry A,Mg,CuSe,Mg(TFSI)2/DME-MgCl3,,200,,,,200,49,14.33,,,,,,,,,,
https://doi.org/10.1002/batt.202400032,2024/3/27,MIB0195,"Tin-containing Silicon Oxycarbonitride Ceramic Nanocomposites
as Stable Anode for Magnesium Ion Batteries",Batteries & Supercaps,Sn(0.422)/SiOCN,CuSe,PhMgcl/THF-AlCl3,,0.5,489.9,,,,,,,,,,,,,,黄亚飞,熊野
https://doi.org/10.1002/batt.202400032,2024/3/27,MIB0196,"Tin-containing Silicon Oxycarbonitride Ceramic Nanocomposites
as Stable Anode for Magnesium Ion Batteries",Batteries & Supercaps,Sn(0.423)/SiOCN,CuSe,PhMgcl/THF-AlCl3,,50,172.9,,,,,,,,,,,,,,,
https://doi.org/10.1002/batt.202400032,2024/3/27,MIB0197,"Tin-containing Silicon Oxycarbonitride Ceramic Nanocomposites
as Stable Anode for Magnesium Ion Batteries",Batteries & Supercaps,Sn(0.424)/SiOCN,CuSe,PhMgcl/THF-AlCl3,,500,136.6,,,,,,,,,,,,,,,
https://doi.org/10.1002/batt.202400032,2024/3/27,MIB0198,"Tin-containing Silicon Oxycarbonitride Ceramic Nanocomposites
as Stable Anode for Magnesium Ion Batteries",Batteries & Supercaps,Sn(0.338)/SiOCN,CuSe,PhMgcl/THF-AlCl4,,500,,,,100,101.8,76.5,,,,,,,,,,
10.1016/j.apsusc.2024.159995,2024/3/27,MIB0199,High-rate aqueous magnesium ion battery enabled by Li/Mg hybrid,Applied Surface Science,Mg,MnO2/GO, Mg(TFSI)2/LiTFSI,,100,259.2,,,,,,,,,,,,,,熊野,黄亚飞
10.1016/j.apsusc.2024.159995,2024/3/27,MIB0200,High-rate aqueous magnesium ion battery enabled by Li/Mg hybrid,Applied Surface Science,Mg,MnO2/GO, Mg(TFSI)2/LiTFSI,,200,219.6,,,,,,,,,,,,,,,
10.1016/j.apsusc.2024.159995,2024/3/27,MIB0201,High-rate aqueous magnesium ion battery enabled by Li/Mg hybrid,Applied Surface Science,Mg,MnO2/GO, Mg(TFSI)2/LiTFSI,,500,208.5,,,,,,,,,,,,,,,
10.1016/j.apsusc.2024.159995,2024/3/27,MIB0202,High-rate aqueous magnesium ion battery enabled by Li/Mg hybrid,Applied Surface Science,Mg,MnO2/GO, Mg(TFSI)2/LiTFSI,,1000,200.8,,,,,,,,,,,,,,,
10.1016/j.apsusc.2024.159995,2024/3/27,MIB0203,High-rate aqueous magnesium ion battery enabled by Li/Mg hybrid,Applied Surface Science,Mg,MnO2/GO, Mg(TFSI)2/LiTFSI,,2000,187.1,,,,,,,,,,,,,,,
10.1002/smll.202400903,2024/4/15,MIB0204,Amorphous Cobalt Polyselenides with Hyperbranched Polymer Additive as High‐Capacity Magnesium Storage Cathode Materials Through Cationic and Anionic Co‐Redox Mechanism,small,Mg,CoSe2.7,0.5MMg(TFSI)2? and 1M MgCl2? in DME ,,50,,246.6,,,,,,,,,,,,,熊野,黄亚飞
10.1002/smll.202400903,2024/4/15,MIB0205,Amorphous Cobalt Polyselenides with Hyperbranched Polymer Additive as High‐Capacity Magnesium Storage Cathode Materials Through Cationic and Anionic Co‐Redox Mechanism,small,Mg,CoSe2.7,0.5MMg(TFSI)2? and 1M MgCl2? in DME ,,2000,,94,,,,,,,,,,,,,,
10.1002/smll.202400903,2024/4/15,MIB0206,Amorphous Cobalt Polyselenides with Hyperbranched Polymer Additive as High‐Capacity Magnesium Storage Cathode Materials Through Cationic and Anionic Co‐Redox Mechanism,small,Mg,CoSe2.7,0.5MMg(TFSI)2? and 1M MgCl2? in DME ,,500,130,,,300,,68.6,,,,,,,,,,
10.1007/s12274-024-6596-3,2024/4/30,MIB0207,"Highly cycle-stable VOPO4-based cathodes for magnesium ion
batteries: Insight into the role of interlayer engineering in batteries
performance",Nano Research,Mg,VPO-1,Mg(TFSI)2?in DME,,100,,,,100,,,,,,,,,,,黄亚飞,熊野
10.1007/s12274-024-6596-3,2024/4/30,MIB0208,"Highly cycle-stable VOPO4-based cathodes for magnesium ion
batteries: Insight into the role of interlayer engineering in batteries
performance",Nano Research,Mg,VPO-2,Mg(TFSI)2?in DME,,100,,176.7,,100,,89.5,,,,,,,,,,
10.1007/s12274-024-6596-3,2024/4/30,MIB0209,"Highly cycle-stable VOPO4-based cathodes for magnesium ion
batteries: Insight into the role of interlayer engineering in batteries
performance",Nano Research,Mg,VPO-3,Mg(TFSI)2?in DME,,100,,217.6,1.0V 2.0V,100,,94.8,,,,,,,,,,
10.1007/s12274-024-6596-3,2024/4/30,MIB0210,"Highly cycle-stable VOPO4-based cathodes for magnesium ion
batteries: Insight into the role of interlayer engineering in batteries
performance",Nano Research,Mg,VPO-3,Mg(TFSI)2?in DME,,,,,,500,200,,,,,,,,,,,
10.1007/s12274-024-6596-3,2024/4/30,MIB0211,"Highly cycle-stable VOPO4-based cathodes for magnesium ion
batteries: Insight into the role of interlayer engineering in batteries
performance",Nano Research,Mg,VPO-3,Mg(TFSI)2?in DME,,,,,,800,191.3,,,,,,,,,,,
10.1007/s12274-024-6596-3,2024/4/30,MIB0212,"Highly cycle-stable VOPO4-based cathodes for magnesium ion
batteries: Insight into the role of interlayer engineering in batteries
performance",Nano Research,Mg,VPO-3,Mg(TFSI)2?in DME,,200,,188.8,,,,,,,,,,,,,,
10.1007/s12274-024-6596-3,2024/4/30,MIB0213,"Highly cycle-stable VOPO4-based cathodes for magnesium ion
batteries: Insight into the role of interlayer engineering in batteries
performance",Nano Research,Mg,VPO-3,Mg(TFSI)2?in DME,,300,,170.7,,,,,,,,,,,,,,
10.1007/s12274-024-6596-3,2024/4/30,MIB0214,"Highly cycle-stable VOPO4-based cathodes for magnesium ion
batteries: Insight into the role of interlayer engineering in batteries
performance",Nano Research,Mg,VPO-3,Mg(TFSI)2?in DME,,500,,153.4,,,,,,,,,,,,,,
10.1007/s12274-024-6596-3,2024/4/30,MIB0215,"Highly cycle-stable VOPO4-based cathodes for magnesium ion
batteries: Insight into the role of interlayer engineering in batteries
performance",Nano Research,Mg,VPO-3,Mg(TFSI)2?in DME,,1000,,120.6,,,,,,,,,,,,,,
10.1007/s12274-024-6596-3,2024/4/30,MIB0216,"Highly cycle-stable VOPO4-based cathodes for magnesium ion
batteries: Insight into the role of interlayer engineering in batteries
performance",Nano Research,Mg,VPO-3,Mg(TFSI)2?in DME,,,,,,,,,,,,,,,,,,
10.1007/s12274-024-6596-3,2024/4/30,MIB0217,"Highly cycle-stable VOPO4-based cathodes for magnesium ion
batteries: Insight into the role of interlayer engineering in batteries
performance",Nano Research,Mg,VPO-3,Mg(TFSI)2?in DME,,,,,,,,,,,,,,,,,,
10.1007/s12274-024-6596-3,2024/4/30,MIB0218,"Highly cycle-stable VOPO4-based cathodes for magnesium ion
batteries: Insight into the role of interlayer engineering in batteries
performance",Nano Research,Mg,VPO-4,Mg(TFSI)2?in DME,,100,,233.1,1.0V 2.0V,100,,70.1,,,,,,,,,,
10.1016/j.cej.2024.152569,2024/5/26,MIB0219,"Constructing Cu9S5@CuSe heterostructures under microwave irradiation 
for rechargeable magnesium batteries ",Chemical Engineering Journal ,Mg,Cu9S5@CuSe,R-PhOMgCl2/AlCl3/THF,,50,,240,,,,,,,,,,,,,黄亚飞,熊野
10.1016/j.cej.2024.152569,2024/5/26,MIB0220,"Constructing Cu9S5@CuSe heterostructures under microwave irradiation 
for rechargeable magnesium batteries ",Chemical Engineering Journal ,Mg,Cu9S5@CuSe,R-PhOMgCl2/AlCl3/THF,,500,,,,1000,94.3,,,,,,,,,,,
10.1016/j.cej.2024.152569,2024/5/26,MIB0221,"Constructing Cu9S5@CuSe heterostructures under microwave irradiation 
for rechargeable magnesium batteries ",Chemical Engineering Journal ,Mg,Cu9S5@CuSe,R-PhOMgCl2/AlCl3/THF,,100,98,,,100,504,,,,,,,,,,,
10.1016/j.cej.2024.152569,2024/5/26,MIB0222,"Constructing Cu9S5@CuSe heterostructures under microwave irradiation 
for rechargeable magnesium batteries ",Chemical Engineering Journal ,Mg,Cu9S5@CuSe,R-PhOMgCl2/AlCl3/THF,,50,199.9,,,,,,,,,,,,,,,
10.1016/j.cej.2024.152569,2024/5/26,MIB0223,"Constructing Cu9S5@CuSe heterostructures under microwave irradiation 
for rechargeable magnesium batteries ",Chemical Engineering Journal ,Mg,Cu9S5@CuSe,R-PhOMgCl2/AlCl3/THF,,100,103.3,,,,,,,,,,,,,,,
10.1016/j.cej.2024.152569,2024/5/26,MIB0224,"Constructing Cu9S5@CuSe heterostructures under microwave irradiation 
for rechargeable magnesium batteries ",Chemical Engineering Journal ,Mg,Cu9S5@CuSe,R-PhOMgCl2/AlCl3/THF,,200,67.7,,,,,,,,,,,,,,,
10.1016/j.cej.2024.152569,2024/5/26,MIB0225,"Constructing Cu9S5@CuSe heterostructures under microwave irradiation 
for rechargeable magnesium batteries ",Chemical Engineering Journal ,Mg,Cu9S5@CuSe,R-PhOMgCl2/AlCl3/THF,,300,48.3,,,,,,,,,,,,,,,
10.1016/j.cej.2024.152569,2024/5/26,MIB0226,"Constructing Cu9S5@CuSe heterostructures under microwave irradiation 
for rechargeable magnesium batteries ",Chemical Engineering Journal ,Mg,Cu9S5@CuSe,R-PhOMgCl2/AlCl3/THF,,500,30.4,,,,,,,,,,,,,,,
10.1016/j.ensm.2024.103539,2024/6/5,MIB0227,"Initiating cationic-anionic chemistry with stepwise surface-to-inner 
conversion in copper selenide superstructures for high-energy rechargeable 
magnesium batteries ",Energy Storage Materials,Mg,Cu2-xSe,R-PhOMgCl2/AlCl3/THF,,100,,385.4,,,,,,,,,,,,,黄亚飞,熊野
10.1016/j.ensm.2024.103539,2024/6/5,MIB0228,"Initiating cationic-anionic chemistry with stepwise surface-to-inner 
conversion in copper selenide superstructures for high-energy rechargeable 
magnesium batteries ",Energy Storage Materials,Mg,Cu2-xSe,R-PhOMgCl2/AlCl3/THF,,1000,,,,700,,,,,,,,,,,,
10.1016/j.ensm.2024.103539,2024/6/5,MIB0229,"Initiating cationic-anionic chemistry with stepwise surface-to-inner 
conversion in copper selenide superstructures for high-energy rechargeable 
magnesium batteries ",Energy Storage Materials,Mg,Cu2-xSe,R-PhOMgCl2/AlCl3/THF,,5000,,,,3000,,,,,,,,,,,,
10.1021/acs.energyfuels.4c01979,2024/6/11,MIB0230,Insoluble Polyquinonyl Sulfide as High-Capacity Cathode Material for Magnesium Battery,Photonics for Energy,Mg,PPTS,0.3M Mg[B(hfip)4]2/DME,,100,,241,,,,,,,,,,,,,熊野,黄亚飞
10.1021/acs.energyfuels.4c01979,2024/6/11,MIB0231,Insoluble Polyquinonyl Sulfide as High-Capacity Cathode Material for Magnesium Battery,Photonics for Energy,Mg,PPTS,0.3M Mg[B(hfip)4]2/DME,,2000,,131,,,,,,,,,,,,,,
10.1021/acs.energyfuels.4c01979,2024/6/11,MIB0232,Insoluble Polyquinonyl Sulfide as High-Capacity Cathode Material for Magnesium Battery,Photonics for Energy,Mg,PPTS,0.3M Mg[B(hfip)4]2/DME,,200,205,,,,,,,,,,,,,,,
10.1021/acs.energyfuels.4c01979,2024/6/11,MIB0233,Insoluble Polyquinonyl Sulfide as High-Capacity Cathode Material for Magnesium Battery,Photonics for Energy,Mg,PPTS,0.3M Mg[B(hfip)4]2/DME,,1000,167,,,,,,,,,,,,,,,
10.1021/acs.energyfuels.4c01979,2024/6/11,MIB0234,Insoluble Polyquinonyl Sulfide as High-Capacity Cathode Material for Magnesium Battery,Photonics for Energy,Mg,PT,0.3M Mg[B(hfip)4]2/DME,,100,163,,,,,,,,,,,,,,,
10.1021/acs.energyfuels.4c01979,2024/6/11,MIB0235,Insoluble Polyquinonyl Sulfide as High-Capacity Cathode Material for Magnesium Battery,Photonics for Energy,Mg,PT,0.3M Mg[B(hfip)4]2/DME,,200,113,,,,,,,,,,,,,,,
10.1021/acs.energyfuels.4c01979,2024/6/11,MIB0236,Insoluble Polyquinonyl Sulfide as High-Capacity Cathode Material for Magnesium Battery,Photonics for Energy,Mg,PT,0.3M Mg[B(hfip)4]2/DME,,1000,58,,,,,,,,,,,,,,,
10.1021/acs.energyfuels.4c01979,2024/6/11,MIB0237,Insoluble Polyquinonyl Sulfide as High-Capacity Cathode Material for Magnesium Battery,Photonics for Energy,Mg,PT,0.3M Mg[B(hfip)4]2/DME,,2000,42,,,,,,,,,,,,,,,
10.1021/acsaem.4c00937,2024/7/2,MIB0238,"Interlayer Regulatory Engineering of NiO2 by Introducing H+ for
High-Rate Mg Ion Storage",ACS Applied Energy Materials ,Mg,Mg,,,,,,,,,,,,,,,,,,黄亚飞,熊野
10.1016/j.jallcom.2024.176518,2024/9/16,MIB0239,"An ultrafast, stable and highly reversible nickel magnesium vanadate cathode for magnesium ion batteries",Journal of Alloys and Compounds,Mg,NiMg2(VO4)2,1 M Mg(ClO4)2在乙腈,,200,,185,,,,,,,,,,,,,熊野,黄亚飞
10.1016/j.jallcom.2024.176518,2024/9/16,MIB0240,"An ultrafast, stable and highly reversible nickel magnesium vanadate cathode for magnesium ion batteries",Journal of Alloys and Compounds,Mg,NiMg2(VO4)2,1 M Mg(ClO4)2在乙腈,,1000,,127,,,,,,,300,,96.47,,,,,
10.1016/j.jallcom.2024.176518,2024/9/16,MIB0241,"An ultrafast, stable and highly reversible nickel magnesium vanadate cathode for magnesium ion batteries",Journal of Alloys and Compounds,Mg,NiMg2(VO4)2,1 M Mg(ClO4)2在乙腈,,2000,,119,,,,,,,300,,96.65,,,,,
